School Name,School Number,Closed,School Street,School City,School State,School Zip,School Email,School Website,School Phone,School Fax,Principal Name,Principal Name (last),Principal Prefix,Principal Title,Grade Low,Grade High,Enrollment,School Accreditations,Diocese Name,Diocese Code,Diocese Street,Diocese City,Diocese State,Diocese Zip,Diocese Email,Diocese Website,Diocese Phone,Diocese Fax,Diocese Contact Name,Diocese Contact Name (last),Diocese Contact Prefix,Diocese Contact Title,District Name,District Number,District Type,District Enrollment,District Street,District City,District State,District Zip,District Email,District Website,District Phone,District Fax,District Contact Name,District Contact Name (last),District Contact Prefix,District Contact Title,County Name,County Number,Region Name
Center for Teaching and Learning,170300001,FALSE,25925 Budde Rd.,Spring,TX,77380,jchamberlain@centerforteachingandlearning.com,www.center,(832) 474-8214,,Jennifer Chamberlain,,,,Pre-K,8,0,COGNIA : 2016,,,,,,,,,,,,,,,TOMBALL ISD,101921,INDEPENDENT,11772,310 S CHERRY ST,TOMBALL,TX,77375-6668,johnneubauer@tomballisd.net,www.tomballisd.net,(281) 357-3100,(281) 357-3128,MR HUEY P KINCHEN   ,,,Superintendent,Harris,101,4
Central Catholic Elementary - Corpus Christi,178100121,TRUE,1218 Comanche St.,Corpus Christi,TX,78401,lmanschot@centralcatholic.us,www.centralcatholic.us,(361) 883-3873,(361) 883-5879,Larry Manschot,,,,Pre-K,5,91,TCCB ED : 1967,Diocese of Corpus Christi,CC,1218 Comanche St.,Corpus Christi,TX,78401,lmanschot@centralcatholic.us,www.centralcatholic.us,(361) 883-3873,(361) 883-5879,Larry Manschot,,,,CORPUS CHRISTI ISD,178904,INDEPENDENT,39213,P O BOX 110,CORPUS CHRISTI,TX,78403-0110,scott.elliff@ccisd.us,www.ccisd.us,(361) 886-9002,(361) 886-9109,MR D SCOTT ELLIFF   ,,,Superintendent,Nueces,178,2
Central Catholic High School -San Antonio,15100004,FALSE,1403 N. St. Mary's St,San Antonio,TX,78215,lhernandez@cchs-satx.org,www.cchs-satx.org,(210) 225-6794,(210) 227-9353,Dr. Lee Hernandez,,,,9,12,521,COGNIA : 1933 | TCCB ED : 1933,Archdiocese of San Antonio,ST,1403 N. St. Mary's St,San Antonio,TX,78215,lhernandez@cchs-satx.org,www.cchs-satx.org,(210) 225-6794,(210) 227-9353,Dr. Lee Hernandez,,,,SAN ANTONIO ISD,15907,INDEPENDENT,54268,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,superintendent@saisd.net,www.saisd.net/,(210) 554-2200,(210) 299-5580,DR SYLVESTER PEREZ   ,,,Superintendent,Bexar,15,20
Central Texas Christian School,14121001,FALSE,4141 W FM 93,Temple,TX,76502,brussell@ctcslions.com,www.ctcslions.com,(254) 939-5700,(254) 939-5733,Brenda Russell,,,,Pre-K,12,390,ACSI : 1998,,,,,,,,,,,,,,,TEMPLE ISD,14909,INDEPENDENT,8838,P O BOX 788,TEMPLE,TX,76503-0788,robin.battershell@tisd.org,www.tisd.org,(254) 215-6760,(254) 899-6837,DR ROBIN BATTERSHELL   ,,,Superintendent,Bell,14,12
Central Texas College Online High School,14122001,TRUE,6200 West Central Texas Expressway,Killeen,TX,76549,jennifer.carr@ctcd.edu,www.ctcohs.com,(254) 526-1321,(254) 526-1819,Jennifer Carr,,,,9,12,0,COGNIA : 2014,,,,,,,,,,,,,,,KILLEEN ISD,14906,INDEPENDENT,41756,P O BOX 967,KILLEEN,TX,76540-0967,Robert.Muller@killeenisd.org,www.killeenisd.org,(254) 336-0006,(254) 526-3103,DR ROBERT MULLER   ,,,Superintendent,Bell,14,12
Children's Lighthouse Learning Center at Fairfield,101510001,FALSE,15200 Mason Rd,Cypress,TX,77433,fairfield.director@childrenslighthouse.com,http://www.childrenslighthouse.com/fairfield,(281) 304-2888,,Shannon Maddasion,,,,Pre-K,Pre-K,226,COGNIA : 2018,,,,,,,,,,,,,,,CYPRESS-FAIRBANKS ISD,101907,INDEPENDENT,110013,P O BOX 692003,HOUSTON,TX,77269-2003,donna.blowey@cfisd.net,www.cfisd.net,(281) 897-4000,(281) 897-4125,DR MARK HENRY   ,,,Superintendent,Harris,101,4
Children's Lighthouse Learning Center at Spring,101520001,FALSE,2885 Waterbend Cove,Spring,TX,77386,spring.director@childrenslighthouse.com,,(832) 813-8307,,Carrol Adams,,,,Pre-K,Kindergarten,150,COGNIA : 2018,,,,,,,,,,,,,,,SPRING ISD,101919,INDEPENDENT,36098,16717 ELLA BLVD,HOUSTON,TX,77090-4299,rdraper@springisd.org,www.springisd.org/,(281) 891-6000,(281) 891-6026,DR RALPH H DRAPER   ,,,Superintendent,Harris,101,4
Children's Lighthouse Learning Center of Mag Creek,84500001,FALSE,4496 League City Parkway,League City,TX,77573,tjs9292@gmail.com,http://www.childrenslighthouse.com/,(713) 806-7199,,Tonya Sanders,,,,Pre-K,Kindergarten,260,COGNIA : 2018,,,,,,,,,,,,,,,CLEAR CREEK ISD,84910,INDEPENDENT,39635,P O BOX 799,LEAGUE CITY,TX,77574-0799,rbayard@ccisd.net,www.ccisd.net,(281) 284-0000,(281) 284-0005,DR GREGORY SMITH   ,,,Superintendent,Galveston,84,4
Children's Lighthouse Learning Center of Woodforest,170240001,FALSE,2183 Woodforest Parkway Northwest,Montgomery,TX,77316,woodforest@childrenslighthouse.com,https://childrenslighthouse.com/woodforest,(936) 588-8999,,Carlen Kossman,,,,Pre-K,Pre-K,86,COGNIA : 2018,,,,,,,,,,,,,,,MONTGOMERY ISD,170903,INDEPENDENT,7189,P O BOX 1475,MONTGOMERY,TX,77356-1475,superintendent@misd.org,www.misd.org,(936) 582-1333,(936) 582-6457,DR BEAU REES   ,,,Superintendent,Montgomery,170,6
Children's University School,220203101,FALSE,4621 Park Springs Blvd,Arlington,TX,76017,brightminds@childrensuniversity.com,www.childrensuniversity.com,(817) 784-6655,(817) 784-1650,Regina Wright,,,,Pre-K,6,0,COGNIA : 2002,,,,,,,,,,,,,,,ARLINGTON ISD,220901,INDEPENDENT,65001,1203 W PIONEER PKWY,ARLINGTON,TX,76013-6246,mcavazos@aisd.net,www.aisd.net,(682) 867-4611,(817) 459-7299,DR MARCELO CAVAZOS   ,,,Superintendent,Tarrant,220,11
Chinquapin Preparatory School,101195001,FALSE,2615 E Wallisville Rd,Highlands,TX,77562,lhenry@chinquapin.org,www.chinquapin.org,(281) 426-5551,(281) 426-5553,Laura Henry,,,,6,12,146,TAAPS : 1991,,,,,,,,,,,,,,,GOOSE CREEK CISD,101911,INDEPENDENT,21821,P O BOX 30,BAYTOWN,TX,77522-0030,salvador.cavazos@gccisd.net,www.gccisd.net,(281) 420-4842,(281) 420-4815,DR SALVADOR CAVAZOS   ,,,Superintendent,Harris,101,4
Chisholm Trail Academy,126179001,FALSE,P O BOX 717,Keene,TX,76059,ottokeubler@txsda.org,www.cta.school,(817) 641-6626,(817) 556-2009,Otto Keubler,,,,9,12,160,TSDA : 1950,,,,,,,,,,,,,,,KEENE ISD,126906,INDEPENDENT,905,P O BOX 656,KEENE,TX,76059-0656,rstephens@keeneisd.org,www.keeneisd.org,(817) 774-5200,(817) 774-5400,MR RICHARD WILLIAM STEPHENS   ,,,Superintendent,Johnson,126,11
Choices Leadership Academy,57267001,FALSE,18106 Marsh Lane,Dallas,TX,75287,kharkey@choicesleadership.org,www.choicesleadership.org,(972) 662-0665,(972) 307-3440,Karen Kizzee Harkey,,,,5,8,0,COGNIA : 2009,,,,,,,,,,,,,,,CARROLLTON-FARMERS BRANCH ISD,57903,INDEPENDENT,26385,P O BOX 115186,CARROLLTON,TX,75011-5186,cfbinfo@cfbisd.edu,www.cfbisd.edu/,(972) 968-6100,(972) 968-6210,DR BOBBY BURNS   ,,,Superintendent,Dallas,57,10
Christ Academy,243120001,FALSE,5105 Stone Lake Drive,Wichita Falls,TX,76310,jmeadows@christacademywf.org,http://www.christacademywf.org,(940) 692-2853,(940) 692-2657,Dr. Jerry Meadows,,,,Kindergarten,12,226,ACSI : 2009,,,,,,,,,,,,,,,WICHITA FALLS ISD,243905,INDEPENDENT,14680,P O BOX 97533,WICHITA FALLS,TX,76307,info@wfisd.net,www.wfisd.net,(940) 235-1000,(940) 720-3228,DR JOHN FROSSARD   ,,,Superintendent,Wichita,243,9
Christ Church School Temple,14210001,TRUE,317 North 1st Street,Temple,TX,76501,smurphy@christchurchschooltemple.com,www.christchurchschool.org,(254) 774-8622,(254) 773-4310,Sharon Murphy,,,,Pre-K,8,0,SAES : 2002,,,,,,,,,,,,,,,TEMPLE ISD,14909,INDEPENDENT,8838,P O BOX 788,TEMPLE,TX,76503-0788,robin.battershell@tisd.org,www.tisd.org,(254) 215-6760,(254) 899-6837,DR ROBIN BATTERSHELL   ,,,Superintendent,Bell,14,12
Christ Community School,170130001,FALSE,1488 Wellman Rd.,The Woodlands,TX,77384,smeldahl@christcommunityschool.org,www.christcommunityschool.org,(936) 321-6300,,Sonya Meldahl,,,,Pre-K,8,131,TAAPS : 2010,,,,,,,,,,,,,,,CONROE ISD,170902,INDEPENDENT,53934,3205 W DAVIS,CONROE,TX,77304,dstockton@conroeisd.net,www.conroeisd.net,(936) 709-9719,(936) 709-9701,DR DON STOCKTON   ,,,Superintendent,Montgomery,170,6
Christ Episcopal School Nacogdoches,174136101,FALSE,502 E. Starr Avenue,Nacogdoches,TX,75961,coliver@ces-nac.org,www.ces-nac.org,(936) 564-0621,(936) 552-7120,Catherine Oliver,,,,Pre-K,6,77,SAES : 1989,,,,,,,,,,,,,,,NACOGDOCHES ISD,174904,INDEPENDENT,6478,DRAWER 631521,NACOGDOCHES,TX,75963-1521,handerson@nacisd.org,www.nacisd.org,(936) 569-5000 ext. 8826,(936) 569-5797,DR FRED HAYES   ,,,Superintendent,Nacagdoches,174,7
Christ Memorial Lutheran School Houston,101149101,FALSE,14200 Memorial Dr,Houston,TX,77079,eclc@christ-memorial.org,www.christ-memorial.org,(281) 497-2055,(281) 293-7734,Barbara Tanz,,,,Early Education,Pre-K,0,LSAC : 1998 | LSAC : 2020,,,,,,,,,,,,,,,SPRING BRANCH ISD,101920,INDEPENDENT,34857,955 CAMPBELL RD,HOUSTON,TX,77024-2803,cheryl.jeffers@springbranchisd.com,www.springbranchisd.com,(713) 464-1511 ext. 2202,(713) 281-2215,DR DUNCAN KLUSSMANN   ,,,Superintendent,Harris,101,4
Christ the King Cathedral School - Lubbock,152100103,FALSE,4011 54th Street,Lubbock,TX,79413,cwanjura@ctkcathedral.org,ctkcathedral.org,(806) 795-6477,(806) 795-9715,Christine Wanjura,,,,Pre-K,12,335,TCCB ED : 1966,Diocese of Lubbock,LU,4011 54th Street,Lubbock,TX,79413,cwanjura@ctkcathedral.org,ctkcathedral.org,(806) 795-6477,(806) 795-9715,Christine Wanjura,,,,LUBBOCK ISD,152901,INDEPENDENT,29219,1628 19TH ST,LUBBOCK,TX,79401-4895,superintendent@lubbockisd.org,www.lubbockisd.org,(806) 766-1000,(806) 766-1210,DR BERHL ROBERTSON   ,,,Superintendent,Lubbock,152,17
Christ the King Elementary School Corpus Christi,178100102,TRUE,1625 Arlington Drove,Corpus Christi,TX,78415,lorchard@ctks@gmail.com,www.ctk-cc.org,(361) 883-5391,(361) 888-9207,Ms. Laura Orchard,,,,Pre-K,5,79,TCCB ED : 1965,Diocese of Corpus Christi,CC,1625 Arlington Drove,Corpus Christi,TX,78415,lorchard@ctks@gmail.com,www.ctk-cc.org,(361) 883-5391,(361) 888-9207,Ms. Laura Orchard,,,,CORPUS CHRISTI ISD,178904,INDEPENDENT,39213,P O BOX 110,CORPUS CHRISTI,TX,78403-0110,scott.elliff@ccisd.us,www.ccisd.us,(361) 886-9002,(361) 886-9109,MR D SCOTT ELLIFF   ,,,Superintendent,Nueces,178,2
Christ the King Elementary School Dallas,57100101,FALSE,4100 Colgate,Dallas,TX,75225,lbosco@cks.org,www.cks.org,(214) 365-1234,(214) 365-1236,Lisa Bosco,,,,Kindergarten,8,420,TCCB ED : 1965,Diocese of Dallas,DA,4100 Colgate,Dallas,TX,75225,lbosco@cks.org,www.cks.org,(214) 365-1234,(214) 365-1236,Lisa Bosco,,,,HIGHLAND PARK ISD,57911,INDEPENDENT,6848,7015 WESTCHESTER DR,DALLAS,TX,75205-1061,poteata@hpisd.org,www.hpisd.org,(214) 780-3000,(214) 780-3099,DR DAWSON ORR   ,,,Superintendent,Dallas,57,10
Christ The Redeemer,101100020,FALSE,11511 Huffmeister Road,Houston,Texas,77065,dan.courtney@ctrschool.com,www.ctrschool.com,(832) 678-5434,(281) 469-8441,Dan Courtney,,,,Pre-K,8,395,TCCB ED : 2016,Archdiocese of Galveston-Houston,GH,11511 Huffmeister Road,Houston,Texas,77065,dan.courtney@ctrschool.com,www.ctrschool.com,(832) 678-5434,(281) 469-8441,Dan Courtney,,,,CYPRESS-FAIRBANKS ISD,101907,INDEPENDENT,110013,P O BOX 692003,HOUSTON,TX,77269-2003,donna.blowey@cfisd.net,www.cfisd.net,(281) 897-4000,(281) 897-4125,DR MARK HENRY   ,,,Superintendent,Harris,101,4
Christian Academy of America (digital learning),61111001,FALSE,175 Double Oaks Dr,Double Oak,TX,75077,jonathanpulaski@christianacademyofamerica.com,www.christianacademyofamerica.com,(972) 539-1458,(866) 707-7738,Jonathan M. Pulaski,,,,Kindergarten,12,200,ACTS : 2017,,,,,,,,,,,,,,,LEWISVILLE ISD,61902,INDEPENDENT,52528,P O BOX 217,LEWISVILLE,TX,75067-0217,info@lisd.net,www.lisd.net/,(469) 713-5200,(972) 350-9500,DR STEPHEN F WADDELL   ,,,Superintendent,Denton,61,11
Christian Academy of San Antonio,15124001,TRUE,325 Castroville Road,San Antonio,TX,78207,paynep@christianacademysa.org,www.christianacademysa.org,(210) 436-2277,(210) 436-2210,Pam Payne,,,,Kindergarten,12,370,ACSI : 2003 | COGNIA : 2010,,,,,,,,,,,,,,,EDGEWOOD ISD,15905,INDEPENDENT,11937,5358 W COMMERCE ST,SAN ANTONIO,TX,78237-1354,jose.cervantes@eisd.net,www.eisd.net,(210) 444-4500,(210) 444-4602,DR JOSE A CERVANTES   ,,,Superintendent,Bexar,15,20
Christian Heritage Classical School,92122001,FALSE,2715 FM 1844 ,LONGVIEW,TX,75605,sjones@chcslongview.com,www.chslongview.com,(903) 663-4151,,Stephanie Jones,,,,Pre-K,12,289,COGNIA : 2014,,,,,,,,,,,,,,,LONGVIEW ISD,92903,INDEPENDENT,8846,P O BOX 3268,LONGVIEW,TX,75606-3268,aholland@lisd.org,www.lisd.org/,(903) 381-2200,(903) 753-5389,DR JAMES E WILCOX   ,,,Superintendent,Gregg,92,7
Christian Heritage Elementary,15188101,TRUE,16316 San Pedro,San Antonio,TX,78232,jbrandt@chs-kids.com,www.chs-kids.com,(210) 496-1644,(210) 496-1993,Jahnnette Brandt,,,,Kindergarten,6,0,NCSA : 1979 | COGNIA : 2010,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Bexar,15,
Christian Heritage Junior/Senior High School,15188041,TRUE,16316 San Pedro,San Antonio,TX,78232,jbrandt@chs-kids.com,www.chs-kids.com,(210) 496-1644,(210) 496-1993,Jahnnette Brandt,,,,6,12,0,NCSA : 1979,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Bexar,15,
Christian Life Center Academy,101140102,FALSE,806 Russell Palmer Rd,Kingwood,TX,77339,info@clc-church.com,www.clc-church.com,(281) 319-0077,(281) 446-5501,Richard Rodriguez,,,,4,,0,ACTS : 2008,,,,,,,,,,,,,,,NEW CANEY ISD,170908,INDEPENDENT,11551,21580 LOOP 494,NEW CANEY,TX,77357,rdomingue@newcaneyisd.org,www.newcaneyisd.org,(281) 577-8600,(281) 354-2639,KENN FRANKLIN   ,,,Superintendent,Montgomery,170,6
Christian Life Preparatory,220291001,FALSE,5253 Altamesa Blvd,Fort Worth,TX,76123,dhenry@christianlifeprep.org,www.christianlifeprep.org,(817) 293-1500,(888) 503-3092,Deborah Henry,,,,Kindergarten,12,300,COGNIA : 2006,,,,,,,,,,,,,,,FORT WORTH ISD,220905,INDEPENDENT,83503,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,web@FWISD.ORG,www.fwisd.org,(817) 815-2000,(817) 815-2112,MR WALTER DANSBY   ,,,Superintendent,Tarrant,220,11
Christian School of Kingwood,101112001,TRUE,2901 Woodland Hills Dr,Kingwood,TX,77339,cskadmin@cebridge.net,www.cskw.org,(281) 359-4929,(281) 359-2514,Linda Copeland,,,,Kindergarten,9,0,NCSA : 1995 | COGNIA : 2011,,,,,,,,,,,,,,,HUMBLE ISD,101913,INDEPENDENT,37095,P O BOX 2000,HUMBLE,TX,77347-2000,guy.sconzo@humble.k12.tx.us,www.humble.k12.tx.us/,(281) 641-1000,(281) 641-1058,DR GUY M SCONZO   ,,,Superintendent,Harris,101,4
Cistercian Preparatory School ,57100003,FALSE,One Cistercian Rd,Irving,TX,75039,fr-paul@cistercian.org,WWW.CISTERCIAN.ORG,(469) 499-5400,(469) 499-5440,Father Paul McCormick,,,,5,12,352,ISAS : 1981 | ISAS : 2002 | ISAS : 2012,,,,,,,,,,,,,,,CARROLLTON-FARMERS BRANCH ISD,57903,INDEPENDENT,26385,P O BOX 115186,CARROLLTON,TX,75011-5186,cfbinfo@cfbisd.edu,www.cfbisd.edu/,(972) 968-6100,(972) 968-6210,DR BOBBY BURNS   ,,,Superintendent,Dallas,57,10
Citadel Christian School,239101001,FALSE,2111 South Blue Bell Road,Brenham,TX,77833,info@citadelchristian.org,www.citadelchristian.org,(979) 838-8480,(979) 830-1687,Sheila Suders,,,,Pre-K,10,46,ACSI : 1999,,,,,,,,,,,,,,,BRENHAM ISD,239901,INDEPENDENT,4963,P O BOX 1147,BRENHAM,TX,77834-1147,jonf@brenhamk-12.net,www.brenhamisd.net,(979) 277-3700,(979) 277-3701,MR SAM BELL   ,,,Superintendent,Washington,239,6
CLAY ACADEMY,57120001,TRUE,3303 POTTER'S HOUSE WAY,DALLAS,TX,75236,pwinfield@clayacademy.com,www.clayacademy.org,(214) 467-4143,(972) 296-3029,PATRICK WINFIELD,,,,Kindergarten,8,0,ACSI : 2004,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Dallas,57,
Clay Road Baptist School,101263101,FALSE,9151 CLAY RD,Houston,TX,77080,mduston@crbs.org,www.clayroadbaptistschool.org,(713) 939-1023,(713) 939-8121,Matt Duston,,,,Pre-K,8,67,ACTABS : 2000,,,,,,,,,,,,,,,SPRING BRANCH ISD,101920,INDEPENDENT,34857,955 CAMPBELL RD,HOUSTON,TX,77024-2803,cheryl.jeffers@springbranchisd.com,www.springbranchisd.com,(713) 464-1511 ext. 2202,(713) 281-2215,DR DUNCAN KLUSSMANN   ,,,Superintendent,Harris,101,4
Cleburne Adventist Christian School,126171101,FALSE,111 Meadowview Dr,Cleburne,TX,76031,sclapp@txsda.org,www.cacs4christ.com,(817) 645-4300,(817) 645-4300,Sherry Clapp,,,,Pre-K,8,34,TSDA : 1997,,,,,,,,,,,,,,,CLEBURNE ISD,126903,INDEPENDENT,6622,505 N RIDGEWAY STE 100,CLEBURNE,TX,76033-5118,admin@cleburne.k12.tx.us,www.cleburne.k12.tx.us,(817) 202-1100,(817) 202-1460,DR TIMOTHY JAMES MILLER   ,,,Superintendent,Johnson,126,11
Cleburne Christian Academy,126121001,FALSE,1410 Glenhaven Dr,Cleburne,TX,76033,eddie.baca@cleburnechristianacademy.org,www.ccacleburne.com,817642857,817642863,Eddie Baca,,,,Pre-K,12,58,COGNIA : 2013,,,,,,,,,,,,,,,CLEBURNE ISD,126903,INDEPENDENT,6622,505 N RIDGEWAY STE 100,CLEBURNE,TX,76033-5118,admin@cleburne.k12.tx.us,www.cleburne.k12.tx.us,(817) 202-1100,(817) 202-1460,DR TIMOTHY JAMES MILLER   ,,,Superintendent,Johnson,126,11
Cleveland Correctional Center,146121001,TRUE,P O BOX 1678,Cleveland,TX,77328,jwmartin@thegeogroupinc.com,www.thegeogroupinc.com,(281) 592-9559,(281) 592-9552,Richard Gott,,,,9,12,0,COGNIA : 2002,,,,,,,,,,,,,,,CLEVELAND ISD,146901,INDEPENDENT,3663,316 E DALLAS ST,CLEVELAND,TX,77327,sarnold@clevelandisd.org,www.clevelandisd.org,(281) 592-8717,(281) 592-8283,MR JOHN KERRY COWART   ,,,Superintendent,Liberty,146,4
Coggin Memorial School,178179101,FALSE,6645 Downing St,Corpus Christi,TX,78414,AnaLuna@txsda.org,www.txsda.org,(361) 991-6968,(361) 991-6968,Ana Luna,,,,Pre-K,8,15,TSDA : 1986,,,,,,,,,,,,,,,CORPUS CHRISTI ISD,178904,INDEPENDENT,39213,P O BOX 110,CORPUS CHRISTI,TX,78403-0110,scott.elliff@ccisd.us,www.ccisd.us,(361) 886-9002,(361) 886-9109,MR D SCOTT ELLIFF   ,,,Superintendent,Nueces,178,2
Collin County Cornerstone Christian Academy,43117001,FALSE,401 W Erwin Ave,McKinney,TX,75069,jguleserian@ccawarriors.com,www.ccawarriors.com,(972) 837-2125,(000) 000-0000,Jeff Guleserian,,,,Kindergarten,12,0,COGNIA : 2012,,,,,,,,,,,,,,,COMMUNITY ISD,43918,INDEPENDENT,1637,P O BOX 400,NEVADA,TX,75173-0400,mcclendonc@communityisd.org,www.communityisd.org,(972) 843-8400,(972) 843-8401,DR COLE MCCLENDON   ,,,Superintendent,Collin,43,10
Community Christian School,184121001,FALSE,2501 Garrett Morris Parkway,Mineral Wells,TX,87067,mr.jefferson@ccsmw.org,www.ccsmw.org,(940) 328-1333,(940) 328-1277,W. Douglas Jefferson,,,,Pre-K,12,98,COGNIA : 2011 | ICAA : 2011,,,,,,,,,,,,,,,MILLSAP ISD,184904,INDEPENDENT,794,201 E BRAZOS ST,MILLSAP,TX,76066-9444,cwiese@millsapisd.net,www.MillsapISD.net,(940) 682-3101,(940) 682-4476,DR DAVID BELDING   ,,,Superintendent,Parker,184,11
Community Christian School Orange,182120001,FALSE,3400 Martin Luther King Drive,Orange,TX,77632,maceyj@ccorange.org,www.ccsorange.org,(409) 330-4731,,Macey Jackson,,,,Kindergarten,12,184,ACSI : 1990,,,,,,,,,,,,,,,WEST ORANGE-COVE CISD,181906,INDEPENDENT,2354,P O BOX 1107,ORANGE,TX,77631-1107,bote@woccisd.net,www.woccisd.net,(409) 882-5437,(409) 882-5467,MR JAMES COLBERT   ,,,Superintendent,Orange,181,5
Concordia Christian Academy McKinney,57158001,TRUE,2708 West Virginia Parkway,McKinney,TX,75071,florene.west@oslmckinney.org,www.concordiachristian.org,(972) 562-9944,(972) 548-7425,Florene West,,,,Early Education,Pre-K,0,LSAC : 2004,,,,,,,,,,,,,,,MCKINNEY ISD,43907,INDEPENDENT,24443,#1 DUVALL ST,MCKINNEY,TX,75069-3211,jdkennedy@mckinneyisd.net,www.mckinneyisd.net,(469) 302-4000,(469) 302-4071,DR J D KENNEDY   ,,,Superintendent,Collin,43,10
Concordia High School Austin,227155101,FALSE,1201 S. Heatherwild Blvd,Pflugerville,TX,78660,mike.doering@chsaustin.org,www.chsaustin.org,(512) 248-2547,(000) 000-0000,Mike Doering,,,,9,12,0,LSAC : 2005 | LSAC : 2011 | LSAC : 2012 | LSAC : 2022,,,,,,,,,,,,,,,PFLUGERVILLE ISD,227904,INDEPENDENT,23347,1401 W PECAN ST,PFLUGERVILLE,TX,78660-2518,superintendent@pfisd.net,www.pflugervilleisd.net,(512) 594-0000,(512) 594-0005,MR FREDDIE MCFARLAND   ,,,Superintendent,Travis,227,13
Concordia Lutheran High School Tomball,101163001,FALSE,700 E Main ST,Tomball,TX,77375,kangasj@clhs-tx.org,www.clhs-tx.org,(281) 351-2547,(281) 255-8806,Julie Kangas,,,,9,12,0,COGNIA : 2005 | LSAC : 2005 | LSAC : 2017 | LSAC : 2022,,,,,,,,,,,,,,,TOMBALL ISD,101921,INDEPENDENT,11772,310 S CHERRY ST,TOMBALL,TX,77375-6668,johnneubauer@tomballisd.net,www.tomballisd.net,(281) 357-3100,(281) 357-3128,MR HUEY P KINCHEN   ,,,Superintendent,Harris,101,4
Concordia Lutheran School San Antonio,15154101,FALSE,16801 Huebner Rd,San Antonio,TX,78258,sallym@concordia-satx.com,www.concordialutheranchurch.com,(210) 479-1477,(210) 479-9416,Sally McBee,,,,Pre-K,8,0,LSAC : 1997 | LSAC : 2018,,,,,,,,,,,,,,,NORTH EAST ISD,15910,INDEPENDENT,67901,8961 TESORO DR,SAN ANTONIO,TX,78217,bgotta@neisd.net,www.neisd.net,(210) 407-0541,(210) 804-7017,DR BRIAN GOTTARDY   ,,,Superintendent,Bexar,15,20
Conroe Adventist Academy,170179101,FALSE,3601 S LOOP 336 East,Conroe,TX,77301-6843,info@conroeacademy.org,www.conroeacademy.org,(936) 756-1083,,Michelle Battistone,,,,Pre-K,12,74,TSDA : 1979,,,,,,,,,,,,,,,CONROE ISD,170902,INDEPENDENT,53934,3205 W DAVIS,CONROE,TX,77304,dstockton@conroeisd.net,www.conroeisd.net,(936) 709-9719,(936) 709-9701,DR DON STOCKTON   ,,,Superintendent,Montgomery,170,6
Continuum Academy,187170001,TRUE,203 E. Calhoun Street,Livingston,TX,77351,adjacks@alumni.rice.edu,www.continuumlearningcenter.com ,(800) 936-1252,(800) 936-1252,Mrs. Amy Jackson,,,,Kindergarten,12,0,COGNIA : 2009,,,,,,,,,,,,,,,LIVINGSTON ISD,187907,INDEPENDENT,4098,P O BOX 1297,LIVINGSTON,TX,77351-1297,klowe@livingstonisd.com,www.livingstonisd.com,(936) 328-2100,(936) 328-2109,DR DARRELL D MYERS   ,,,Superintendent,Polk,187,6
Coppell Tamil Learning Center,57350001,FALSE,731 Crestwood Drive,Coppell,TX,75019,mramalingam@coppelltamil.com,http://www.coppelltamil.com,(972) 315-2544,,Muthukumar Ramalingam,,,,Pre-K,8,229,COGNIA : 2018,,,,,,,,,,,,,,,COPPELL ISD,57922,INDEPENDENT,10999,200 S DENTON TAP RD,COPPELL,TX,75019-3205,kryon@coppellisd.com,www.coppellisd.com,(214) 496-6000,(214) 496-6036,DR JEFF N TURNER   ,,,Superintendent,Dallas,57,10
Coram Deo Academy,61190001,FALSE,4900 Wichita Trail,Flower Mound,TX,75022,flowermound@coramdeoacademy.org,www.coramdeoacademy.org,(800) 465-0561,(972) 692-5140,Polly Dwyer/Charlotte Campbell,,,,Pre-K,12,0,COGNIA : 2006,,,,,,,,,,,,,,,LEWISVILLE ISD,61902,INDEPENDENT,52528,P O BOX 217,LEWISVILLE,TX,75067-0217,info@lisd.net,www.lisd.net/,(469) 713-5200,(972) 350-9500,DR STEPHEN F WADDELL   ,,,Superintendent,Denton,61,11
Coram Deo Academy - Dallas Campus,57330001,FALSE,6464 E. Lovers Lane,Dallas,TX,75214,beverly.mcmullin@coramdeoacademy.org,http://www.coramdoeacademy.org,(972) 385-6410,,Mrs. Beverly McMullin,,,,Pre-K,8,100,COGNIA : 2016,,,,,,,,,,,,,,,DALLAS ISD,57905,INDEPENDENT,158932,3700 ROSS AVE,DALLAS,TX,75204-5491,arodriguez@dallasisd.org,www.dallasisd.org,(972) 925-3700, ,MIKE MILES   ,,,Superintendent,Dallas,57,10
Coram Deo Academy of Collin County,43281001,FALSE,9645 Independence Pkwy,Plano,TX,75025,collincounty@coramdeoacademy.org,www.coramdeoacademy.org ,(469) 854-1300,(972) 692-5140,Toby Oaks/Judy King,,,,Pre-K,11,0,COGNIA : 2007,,,,,,,,,,,,,,,ALLEN ISD,43901,INDEPENDENT,19894,P O BOX 13,ALLEN,TX,75013-0013,publicinfo@allenisd.org,www.allenisd.org,(972) 727-0511,(972) 727-0518,DR KEN HELVEY   ,,,Superintendent,Collin,43,10
